Land;Brand;Status;Week;Old_mat;New_mat;Art_nr;Prod_grp;Description_SE;Descripiton_DK;GTIN_CU;GTIN_TU;GTIN_Pallet;Type_nr;SP_CU;Depth_CU;Width_CU;Height_CU;Weight_kg_CU;CU_TU;(CU_TU);Depth_TU;Width_TU;Height_TU;Weight_kg_TU;TU_Layer;TU_Pallet;Hi_inc_Pal;GW_PU_kg;NW_PU_kg;DVH_CU   ;DVH_TU;FH_CU;FH_TU;NET_III;REK_UT_PRIS;Promo_pris;ICA;Coop;B-dahl;Axfood;EEL ;Elkjöp;Mediamarkt;Expert;DK;Transferpris 2013 per PC (materialnr);Kalkylerat lagervärde Klippan 2013 per PC (EAN);;CU   ;TU;VEJLEDE_PRIS;Promo_pris;Miljö_märkt;C_ Code
Nordic;Melitta;N;w 07/18;;6765067;446;KAFFE;CaféBar Selection, dark roast, 500 gr;;4,00E+12;4,00E+12;4,00E+12;;1;65;122;300;0,54;10;;400;227;220;5,71;10;40;1090;;;58,07;580,7;58,07;580,7;;;;;;;;;;;;;;;;45;450;79;;;9012100
Nordic;Melitta;N;w 07/18;;6765069;447;KAFFE;CaféBar Selection, espresso extra dark roast, 500 gr;;4,00E+12;4,00E+12;4,00E+12;;1;65;122;300;0,54;10;;400;227;220;5,71;10;40;1090;;;58,07;580,7;58,07;580,7;;;;;;;;;;;;;;;;45;450;79;;;9012100
Nordic;Melitta;N;w 07/18;;6765066;448;KAFFE;CaféBar Selection, medium roast, 500 gr;;4,00E+12;4,00E+12;4,00E+12;;1;65;122;300;0,54;10;;400;227;220;5,71;10;40;1090;;;58,07;580,7;58,07;580,7;;;;;;;;;;;;;;;;45;450;79;;;9012100
Nordic;Melitta;N;w 07/18;;6765068;449;KAFFE;CaféBar Selection, espresso classic roast, 500 gr;;4,00E+12;4,00E+12;4,00E+12;;1;65;122;300;0,54;10;;400;227;220;5,71;10;40;1090;;;58,07;580,7;58,07;580,7;;;;;;;;;;;;;;;;45;450;79;;;9012100
Nordic;Melitta;N;w 07/18;;6764766;450;KAFFE;CaféBar Selection, dark roast, 1 kg;;4,00E+12;4,00E+12;4,00E+12;;1;90;158;330;1,02;8;;400;300;250;8,5;8;24;900;;;111,66;893,28;111,66;893,28;;;;;;;;;;;;;;;;90;720;149;;;9012100
Nordic;Melitta;N;w 07/18;;6764768;451;KAFFE;CaféBar Selection, espresso extra dark roast, 1 kg;;4,00E+12;4,00E+12;4,00E+12;;1;90;158;330;1,02;8;;400;300;250;8,5;8;24;900;;;111,66;893,28;111,66;893,28;;;;;;;;;;;;;;;;90;720;149;;;9012100
Nordic;Melitta;N;w 07/18;;6764765;452;KAFFE;CaféBar Selection, medium roast, 1 kg;;4,00E+12;4,00E+12;4,00E+12;;1;90;158;330;1,02;8;;400;300;250;8,5;8;24;900;;;111,66;893,28;111,66;893,28;;;;;;;;;;;;;;;;90;720;149;;;9012100
Nordic;Melitta;N;w 07/18;;6764767;453;KAFFE;CaféBar Selection, espresso classic roast, 1 kg;;4,00E+12;4,00E+12;4,00E+12;;1;90;158;330;1,02;8;;400;300;250;8,5;8;24;900;;;111,66;893,28;111,66;893,28;;;;;;;;;;;;;;;;90;720;149;;;9012100
Nordic;Melitta;N;w 30/18;;6762944;658;KAFFE;Monsooned Malabar;Monsooned Malabar;4,00E+12;4,00E+12;4,00E+12;;1;80;145;294;1,024;8;;400;300;250;8,5;8;24;900;;;;;;;;;;;;;;;;;;;;;;;;;;;9012100
Nordic;Melitta;N;w 30/18;;6762945;659;KAFFE;Masterpiece;Masterpiece;4,00E+12;4,00E+12;4,00E+12;;1;80;145;294;1,024;8;;400;300;250;8,5;8;24;900;;;;;;;;;;;;;;;;;;;;;;;;;;;9012100
Nordic;Melitta;;;;5887453;810;KAFFE;BELLA CREMA 1 KG;BELLA CREMA 1 KG;4,00E+12;4,00E+12;4,00E+12;;1;90;145;240;1,01;8;;400;300;250;8,5;8;24;895;;;136,5;1092;136,5;1092;;;;;;5437652;;;;1137197;;;27,09;28,03;0,94;90;720;149;;;9012100
Nordic;Melitta;;;;5887460;830;KAFFE;BELLA CREMA ESPRESSO 1 KG;BELLA CREMA ESPRESSO 1 KG;4,00E+12;4,00E+12;4,00E+12;;1;90;145;240;1,01;8;;400;300;250;8,5;8;24;895;;;136,5;1092;136,5;1092;;;;1973114;66556;5244488;101270567;300611;;1085407;;;31,65;32,59;0,94;90;720;149;;;9012100
Nordic;Melitta;;;1047783;6748951;2123;TILLBEHÖR ;BRYGGTRATT AROMA BOY VIT 100;TRAGT AROMA BOY HVID 100;4,01E+12;4,01E+12;;;1;110;100;75;0,08;1;;110;100;75;0,8;;1221;;;;22,3;22,3;22,3;22,3;;;;;;;;;;;;;1,0165;;-1,0165;;0;;;;39241000
Nordic;Melitta;;;;5960170;2173;TILLBEHÖR ;BRYGGTRATT, 1X4  RÖKFÄRGAD;TRAGT, 1X4  RØGFARVET;4,01E+12;7,31E+12;7,31E+12;;1;155;135;120;0,11;6;;400;290;145;0,9;8;56;1165;;;21,3;127,8;32,3;193,8;;;;;;229088;;;;;;;;11;11;31,5;189;79,95;;;39241000
Nordic;Melitta;;;;5622481;9021;KAFFEFILTER , VITA;KAFFEFILTER 202s VITA 100-P ;KAFFEFILTER 202s HVID 100-P ;4,02E+12;4,02E+12;4,01E+12;;100;65;144;261;0,36;5;;325;145;263;1,8;18;108;1202;;;97,52;487,6;75,896;379,5;;;;;;;100516489;;;;;;;;;40;200;99,95;;;48232000
Nordic;Melitta;;;6730079;6758770;10832;KAFFEBRYGGARE ;EXCELLENT PROMO, VIT A.S.O;EXCELLENT PROMO, HVID A.S.O;4,01E+12;4,01E+12;7,31E+12;M510 WH;1;173;309;318;2,5;1;4;363;635;340;11,5;12;36;1165;;;486;486;486;486;;;;6233993;;;;;;;;;;;;;;;;;85167100
Nordic;Melitta;;;;6588144;14082;GLASKANNOR ;GLASKANNA EASY / ENJOY / CAFÉ FUN / CAFÉ LINE, SVART;GLASKANDE EASY / ENJOY / CAFÉ FUN / CAFÉ LINE, SORT;4,01E+12;4,01E+12;4,01E+12;;1;168;192;128;0,33;1;;168;192;128;0,33;28;196;1041;;;91;91;91;91;;;;;;;;;;;;;;;;68;68;159;;;70134200
Nordic;Melitta;;;;5677092;16650;THERMKANNOR ;TERMOKANNA LOOK I, VIT;TERMOKANDE LOOK I, HVID;4,01E+12;4,01E+12;4,01E+12;;1;172;172;191;0,915;1;;175;175;194;0,9;24;96;926;;;159;159;150,5;150,5;;;;;;;;;;;;;46,35;48,22999996;1,879999961;;;;;;96170000
Nordic;Melitta;;;;6588212;16819;GLASKANNOR ;GLASKANNA AROMA MAGIC;GLASKANDE AROMA MAGIC;4,01E+12;4,01E+12;4,01E+12;;1;166;190;127;0,34;1;;168;192;128;0,3;28;196;800;;;101,8;101,8;103,9;103,9;;;;;;;;;;;;;28,5346;28,55;0,015399999;;;;;;70134200
Nordic;Melitta;;;;5695386;16968;GLASKANNOR ;GLASKANNA LINEA UNICA, SVART;GLASKANDE LINEA UNICA, SORT;4,01E+12;4,01E+12;5695386;;1;153;153;176;0,43;1;;153;153;176;0,8;30;120;957;;;125,1;125,1;115,5;115,5;;;;;;;;;;;;;47,2265;47,24;0,013500001;;;;;;70134200
Nordic;Melitta;;;;6583200;17228;GLASKANNOR ;GLASKANNA SINGLE 5, VIT;GLASKANDE SINGLE 5, HVID;4,01E+12;4,01E+12;4,01E+12;;1;151;151;132;0,325;1;;151;151;132;0,4;24;264;942;;;107,1;107,1;106;106;;;;;;;;;;;;;24,2905;24,30000001;0,009500007;;;;;;70134200
Nordic;Melitta;;;;6651152;17272;TILLBEHÖR ;BRYGGTRATT, 102  SVART;TRAGT, 102  SORT;4,01E+12;4,01E+12;4,01E+12;;1;118;118;105;0,097;1;;120;120;110;0,1;8;480;1030;;;19,2;19,2;19,2;19,2;40;119;;;;229005;;;;;;;8,8493;9,75;0,9007;;0;99;;;39241000
Nordic;Melitta;;;;5754007;17339;THERMKANNOR ;TERMOKANNA LINEA UNICA THERM;TERMOKANDELINEA UNICA THERM;4,01E+12;4,01E+12;4,01E+12;;1;170;170;179;0,88;1;;170;170;179;0,9;24;216;1010;;;330,7;330,7;330,7;330,7;;;;;;;;;;;;;116,7;;-116,7;;;;;;96170000
Nordic;Melitta;;;;6588090;17340;GLASKANNOR ;GLASKANNA LOOK MOTION;GLASKANDE LOOK MOTION;4,01E+12;4,01E+12;4,01E+12;;1;166;190;127;0,34;1;;169;192;128;0,4;28;196;1040;;;110,2;110,2;108,1;108,1;;;;;;;;;;;;;31,3338;31,34;0,006199998;;;;;;70134200
Nordic;Melitta;;;;6578213;17644;GLASKANNOR ;GLASKANNA EXCELLENT STEEL 1,3 L;GLASKANDE EXCELLENT STEEL 1,3 L;4,01E+12;4,01E+12;;;1;144;186;176;0,46;1;;147;190;177;0,5;32;160;1030;;;90,1;90,1;98,6;98,6;;;;;;;;300728;;1010346;;;32,2368;23,3;-8,9368;;;;;;70134200
Nordic;Melitta;;;;6588137;17777;GLASKANNOR ;GLASKANNA LOOK II, SVART;GLASKANDE LOOK II, SORT;4,01E+12;4,01E+12;4,01E+12;;1;175;190;136;0,44;1;;175;190;136;0,3;24;144;961;;;102,8;102,8;103,9;103,9;;;;;;;;;;;;;29,257;29,26999997;0,01299997;;;;;;70134200
Nordic;Melitta;;;;6588199;17779;GLASKANNOR ;GLASKANNA LOOK DE LUXE II, SVART;GLASKANDE LOOK DE LUXE II, SORT;4,01E+12;4,01E+12;4,01E+12;;1;175;190;136;0,44;1;;175;190;136;0,3;24;144;961;;;103,9;103,9;103,9;103,9;;;;;;;;;;;;;29,257;29,27;0,012999998;;;;;;70134200
Nordic;Melitta;;;;5860029;18151;THERMKANNOR ;TERMOKANNA LOOK II, SVART;TERMOKANDE LOOK II, SORT;4,01E+12;4,01E+12;4,01E+12;;1;182;182;186;0,91;1;6;182;182;186;0,9;24;120;1200;;;159;159;150,5;150,5;;;;;;;;;;;;;74,56;76,06999999;1,509999987;;;;;;96170000
Nordic;Melitta;;;;5860005;18153;THERMKANNOR ;TERMOKANNA LOOK  II, VIT;TERMOKANDE LOOK  II, HVID;4,01E+12;4,01E+12;4,01E+12;;1;182;182;186;0,91;1;6;182;182;186;0,9;24;120;1200;;;159;159;150,5;150,5;;;;;;;;;;;;;71,47;72,97999994;1,509999941;;;;;;96170000
Nordic;Melitta;;;;6505288;18551;GLASKANNOR ;GLASKANNA OPTIMA;GLASKANDE OPTIMA;4,01E+12;4,01E+12;4,01E+12;;1;155;155;147;0,38;1;;155;155;147;0,4;24;144;1147;;;103,9;103,9;103,9;103,9;;;;;;;;;;;;;26,9092;26,91999998;0,010799978;;;;;;70134200
Nordic;Melitta;N;w 10 17;;6760569;18900;TILLBEHÖR ;FILTERTRATT EXCELLENT 4.0 SVART;TRAGT EXCELLENT 4.0 SORT;4,01E+12;4,01E+12;4,01E+12;;1;150;150;144;0,15;1; ;150;150;144;0,15;;;;;;60;60;60;60;;;;;;;;;;;;;;;;;;;;;39241000
Nordic;Melitta;;;;6518882;18970;GLASKANNOR ;GLASKANNA STAGE;GLASKANDE STAGE;4,01E+12;4,01E+12;4,01E+12;;1;149;147;175;0,46;1;;145;145;170;0,8;24;216;945;;;114,5;114,5;114,5;114,5;;;;;;;;;;;;;32,4174;32,42999998;0,012599983;;;;;;70134200
Nordic;Melitta;;;;6518899;18971;THERMKANNOR ;TERMOKANNA EXCELLENT ;TERMOKANDEEXCELLENT ;4,01E+12;4,01E+12;4,01E+12;;1;180;180;200;1,154;1;;180;180;200;1,1;24;120;1250;;;327,5;327,5;327,5;327,5;;;;;;;;;;;;;119,2;;-119,2;;;;;;96170000
